#Tempo    Entrada    Saída
0.291500    290.807129     290.807129
0.292000    287.088959     287.088959
0.292500    283.191345     283.191345
0.293000    279.116760     279.116760
0.293500    274.867706     274.867706
0.294000    270.446899     270.446899
0.294500    265.857086     265.857086
0.295000    261.101074     261.101074
0.295500    256.181915     256.181915
0.296000    251.102646     251.102646
0.296500    245.866455     245.866455
0.297000    240.476593     240.476593
0.297500    234.936432     234.936432
0.298000    229.249466     229.249466
0.298500    223.419205     223.419205
0.299000    217.449326     217.449326
0.299500    211.343552     211.343552
0.300000    205.105682     205.105682
0.300500    198.739639     198.739639
0.301000    192.249390     192.249390
0.301500    185.638977     185.638977
0.302000    178.912567     178.912567
0.302500    172.074326     172.074326
0.303000    165.128555     165.128555
0.303500    158.079575     158.079575
0.304000    150.931808     150.931808
0.304500    143.689697     143.689697
0.305000    136.357803     136.357803
0.305500    128.940689     128.940689
0.306000    121.442986     121.442986
0.306500    113.869385     113.869385
0.307000    106.224617     106.224617
0.307500    98.513466     98.513466
0.308000    90.740746     90.740746
0.308500    82.911316     82.911316
0.309000    75.030067     75.030067
0.309500    67.101929     67.101929
0.310000    59.131859     59.131859
0.310500    51.124828     51.124828
0.311000    43.085846     43.085846
0.311500    35.019936     35.019936
0.312000    26.932142     26.932142
0.312500    18.827515     18.827515
0.313000    10.711123     10.711123
0.313500    2.588035     2.588035
0.314000    -5.536670     5.536670
0.314500    -13.657914     13.657914
0.315000    -21.770624     21.770624
0.315500    -29.869726     29.869726
0.316000    -37.950161     37.950161
0.316500    -46.006878     46.006878
0.317000    -54.034843     54.034843
0.317500    -62.029037     62.029037
0.318000    -69.984467     69.984467
0.318500    -77.896156     77.896156
0.319000    -85.759163     85.759163
0.319500    -93.568581     93.568581
0.320000    -101.319511     101.319511
0.320500    -109.007126     109.007126
0.321000    -116.626610     116.626610
0.321500    -124.173210     124.173210
0.322000    -131.642212     131.642212
0.322500    -139.028931     139.028931
0.323000    -146.328766     146.328766
0.323500    -153.537140     153.537140
0.324000    -160.649567     160.649567
0.324500    -167.661606     167.661606
0.325000    -174.568848     174.568848
0.325500    -181.366989     181.366989
0.326000    -188.051788     188.051788
0.326500    -194.619049     194.619049
0.327000    -201.064697     201.064697
0.327500    -207.384674     207.384674
0.328000    -213.575043     213.575043
0.328500    -219.631943     219.631943
0.329000    -225.551575     225.551575
0.329500    -231.330231     231.330231
0.330000    -236.964325     236.964325
0.330500    -242.450333     242.450333
0.331000    -247.784805     247.784805
0.331500    -252.964432     252.964432
0.332000    -257.985962     257.985962
0.332500    -262.846252     262.846252
0.333000    -267.542267     267.542267
0.333500    -272.071075     272.071075
0.334000    -276.429871     276.429871
0.334500    -280.615875     280.615875
0.335000    -284.626526     284.626526
0.335500    -288.459290     288.459290
0.336000    -292.111786     292.111786
0.336500    -295.581696     295.581696
0.337000    -298.866882     298.866882
0.337500    -301.965302     301.965302
0.338000    -304.875000     304.875000
0.338500    -307.594147     307.594147
0.339000    -310.121094     310.121094
0.339500    -312.454193     312.454193
0.340000    -314.592010     314.592010
0.340500    -316.533234     316.533234
0.341000    -318.276642     318.276642
0.341500    -319.821136     319.821136
0.342000    -321.165741     321.165741
0.342500    -322.309631     322.309631
0.343000    -323.252075     323.252075
0.343500    -323.992523     323.992523
0.344000    -324.530487     324.530487
0.344500    -324.865601     324.865601
0.345000    -324.997711     324.997711
0.345500    -324.926697     324.926697
0.346000    -324.652618     324.652618
0.346500    -324.175629     324.175629
0.347000    -323.496063     323.496063
0.347500    -322.614288     322.614288
0.348000    -321.530914     321.530914
0.348500    -320.246613     320.246613
0.349000    -318.762146     318.762146
0.349500    -317.078461     317.078461
0.350000    -315.196594     315.196594
0.350500    -313.117767     313.117767
0.351000    -310.843262     310.843262
0.351500    -308.374451     308.374451
0.352000    -305.712952     305.712952
0.352500    -302.860382     302.860382
0.353000    -299.818512     299.818512
0.353500    -296.589294     296.589294
0.354000    -293.174713     293.174713
0.354500    -289.576904     289.576904
0.355000    -285.798096     285.798096
0.355500    -281.840698     281.840698
0.356000    -277.707153     277.707153
0.356500    -273.400055     273.400055
0.357000    -268.922089     268.922089
0.357500    -264.276062     264.276062
0.358000    -259.464874     259.464874
0.358500    -254.491501     254.491501
0.359000    -249.359100     249.359100
0.359500    -244.070862     244.070862
0.360000    -238.630066     238.630066
0.360500    -233.040161     233.040161
0.361000    -227.304596     227.304596
0.361500    -221.426971     221.426971
0.362000    -215.410965     215.410965
0.362500    -209.260345     209.260345
0.363000    -202.978928     202.978928
0.363500    -196.570663     196.570663
0.364000    -190.039551     190.039551
0.364500    -183.389664     183.389664
0.365000    -176.625168     176.625168
0.365500    -169.750290     169.750290
0.366000    -162.769318     162.769318
0.366500    -155.686630     155.686630
0.367000    -148.506638     148.506638
0.367500    -141.233826     141.233826
0.368000    -133.872757     133.872757
0.368500    -126.428017     126.428017
0.369000    -118.904266     118.904266
0.369500    -111.306198     111.306198
0.370000    -103.638573     103.638573
0.370500    -95.906181     95.906181
0.371000    -88.113846     88.113846
0.371500    -80.266441     80.266441
0.372000    -72.368874     72.368874
0.372500    -64.426079     64.426079
0.373000    -56.443020     56.443020
0.373500    -48.424683     48.424683
0.374000    -40.376083     40.376083
0.374500    -32.302254     32.302254
0.375000    -24.208233     24.208233
0.375500    -16.099083     16.099083
0.376000    -7.979873     7.979873
0.376500    0.144325     0.144325
0.377000    8.268434     8.268434
0.377500    16.387373     16.387373
0.378000    24.496073     24.496073
0.378500    32.589462     32.589462
0.379000    40.662483     40.662483
0.379500    48.710094     48.710094
0.380000    56.727261     56.727261
0.380500    64.708977     64.708977
0.381000    72.650246     72.650246
0.381500    80.546120     80.546120
0.382000    88.391647     88.391647
0.382500    96.181938     96.181938
0.383000    103.912117     103.912117
0.383500    111.577354     111.577354
0.384000    119.172859     119.172859
0.384500    126.693878     126.693878
0.385000    134.135727     134.135727
0.385500    141.493744     141.493744
0.386000    148.763321     148.763321
0.386500    155.939941     155.939941
0.387000    163.019104     163.019104
0.387500    169.996368     169.996368
0.388000    176.867401     176.867401
0.388500    183.627899     183.627899
0.389000    190.273636     190.273636
0.389500    196.800461     196.800461
0.390000    203.204285     203.204285
0.390500    209.481110     209.481110
0.391000    215.627029     215.627029
0.391500    221.638184     221.638184
